Key,ID,Title,Year,Author,Pub_Type
8BPLJSSB,2005916137,phonological processes confrontational naming and immediate memory in dyslexia,1993,"Ackerman, P. T.; Dykman, R. A.",1
FLQ275QI,2096244074,kindergarten predictors of second versus eighth grade reading comprehension impairments,2010,"Adlof, Suzanne M.; Catts, Hugh W.; Lee, Jaehoon",1
HC3X89IH,1972409856,early preschool processing abilities predict subsequent reading outcomes in bilingual spanish catalan children with specific language impairment sli,2014,"Aguilar-Mediavilla, Eva; Buil-Legaz, Lucia; Perez-Castello, Josep A.; Rigo-Carratala, Eduard; Adrover-Roig, Daniel",1
Q2WERMS5,2128485164,who are the young children for whom best practices in reading are ineffective an experimental and longitudinal study,2006,"Al Otaiba, Stephanie; Fuchs, Douglas",1
EMU2C6KF,2747682463,is processing of symbols and words influenced by writing system evidence from chinese korean english and greek,2017,"Altani, Angeliki; Georgiou, George K.; Deng, Ciping; Cho, Jeung-Ryeul; Katopodi, Katerina; Wei, Wei; Protopapas, Athanassios",1
45T4WRN2,2154550450,identifying and predicting classes of response to explicit phonological spelling instruction during independent composing,2008,"Amtmann, Dagmar; Abbott, Robert D.; Berninger, Virginia W.",1
QUHP98P8,2058633808,timing analysis of coding and articulation processes in dyslexia,1984,"Anderson, S. W.; Podwall, F. N.; Jaffe, J.",1
RSVCKCKS,2002228303,phonological processing and emergent literacy in spanish speaking preschool children,2006,"Anthony, Jason L.; Williams, Jeffrey M.; McDonald, Renee; Corbitt-Shindler, Deborah; Carlson, Coleen D.; Francis, David J.",1
62AN3579,2055604732,phonological processing and emergent literacy in younger and older preschool children,2007,"Anthony, Jason L.; Williams, Jeffrey M.; McDonald, Renee; Francis, David J.",1
BZ6PWWKZ,1923410515,component processes subserving rapid automatized naming in dyslexic and non dyslexic readers,2011,"Araujo, Susana; Inacio, Filomena; Francisco, Ana; Faisca, Luis; Petersson, Karl Magnus; Reis, Alexandra",1
PY77SBTM,2766209727,naming speed as a predictive diagnostic measure in reading and attentional problems,2018,"Areces, Debora; Garcia, Trinidad; Gonzalez-Castro, Paloma; Alvarez-Garcia, David; Rodriguez, Celestino",1
ZTRJII25,2801678186,preliteracy impairments in children with neurofibromatosis type 1,2018,"Arnold, Shelley S.; Payne, Jonathan M.; Lorenzo, Jennifer; North, Kathryn N.; Barton, Belinda",1
P2AFV677,2131519171,different brain activation patterns in dyslexic children evidence from eeg power and coherence patterns for the double deficit theory of dyslexia,2007,"Arns, Martijn; Peters, Sylvia; Breteler, Rien; Verhoeven, Ludo",1
WX29EIYD,2883635614,examining the double deficit hypothesis in vowelized transparent arabic in a national representative sample of grades 3 and 4,2018,"Asadi, Ibrahim A.; Shany, Michal",1
2FUWCFIG,1086749534,reading impairment in duchenne muscular dystrophy a pilot study to investigate similarities and differences with developmental dyslexia,2015,"Astrea, Guja; Pecini, Chiara; Gasperini, Filippo; Brisca, Giacomo; Scutifero, Marianna; Bruno, Claudio; Santorelli, Filippo Maria; Cioni, Giovanni; Politano, Luisa; Chilosi, Anna Maria; Battini, Roberta",1
8FJXA2TU,2018738300,comorbidity of adhd and reading disability among clinic referred children,1990,"August, G. J.; Garfinkel, B. D.",1
G9HIA36L,1981690173,preschool prediction orthographic and phonological skills and reading,1994,"Badian, N. A.",1
UGYQJ5FJ,2095023639,dyslexia a validation of the concept at two age levels,1996,"Badian, N. A.",1
3XTWTH8L,2152959030,a validation of the role of preschool phonological and orthographic skills in the prediction of reading,1998,"Badian, N. A.",1
