,uid,title,pubyear,doi,journal,authors,abstract
0,592244,the phonological awareness written spelling and oral reading of learners in an inclusive english medium education setting,2003,,,Noelene Carol Pijper,
1,7663250,entwicklung des lesens und schreibens,2014,10.1007/978-3-642-41842-6_2,,"Claudia Steinbrink, Thomas Lachmann",
2,16444107,an eye for print child and adult attention to print during shared book reading,2010,10.1007/978-1-4419-0834-6_4,,"Mary Ann Evans, Jean Saint-Aubin",
3,16959605,effects of attention deficit hyperactivity disorder and anxiety on attention working memory and academic achievement in children and adolescents a structural equation modeling approach,2013,,,Alexandra Noelle Sturm,"Attention and working memory, two constructs that affect youth who have ADHD and anxiety, are essential in establishing automaticity and success in academic achievement. Using data from a large study involving 502 children and adolescents (332 diagnosed with ADHD, 145 diagnosed with anxiety disorder, and 126 diagnosed with neither), ages 7 to 15 years, this paper applies structural equation modeling to test the sequential relationship between the latent constructs of attention, working memory, and academic achievement, and the effects of symptoms of ADHD and anxiety on each construct, and also to assess consistency in measurement techniques of each underlying construct. The study establishes that the structural equation model created to replicate a theory of automaticity fit the data from this sample well, and there was significant sequential prediction between attention, working memory, and academic achievement. In addition, better performance on measures of attention and working memory predicts higher academic achievement, as relative weaknesses in academic achievement seen in children and adolescents with ADHD can be explained largely by deficits in attention and working memory. Anxiety symptoms were unrelated to attention, working memory, and academic achievement, when controlling for ADHD. However, a significant negative correlation between harm avoidance, a trait of anxiety, and ADHD symptoms suggest that it may be of value to explore the theoretical underpinnings of the relationship between harm avoidance, ADHD, and academic achievement."
4,18354643,parental involvement and the impact on students literacy development,2012,,,Kalina E. Simonds,
5,20614457,understanding the development of alphabet knowledge in at risk populations the influence of pre literacy skills,2012,,,Ashley Marie Coursin,
6,20711710,the sound to spelling connection orthographic activation in auditory word recognition and its implications for the acquisition of phonological awareness and literacy skills,1994,10.1007/978-94-017-3492-9_7,,Roderick W. Barron,
7,23639275,imaging studies of reading and reading disability,2015,10.1016/B978-0-12-397025-1.00065-8,,"Guinevere F. Eden, Olumide A. Olulade, Tanya M. Evans, Anthony J. Krafnick, D.R. Alkire","The reading disability dyslexia is associated with orthographic and phonological processing deficits. Neuroimaging studies have revealed less gray and white matter volume and altered white matter integrity in left temporoparietal areas and abnormal activity of brain regions known to subserve reading (and its constituent processes), including left ventral occipitotemporal, temporoparietal, and inferior frontal cortices (and their connections). Brain imaging studies are contributing to our understanding of the neural correlates of successful reading intervention, the role of dyslexia-associated genes, and the causal versus consequential nature of brain-based differences in dyslexia."
8,34916195,supporting children s language and literacy skills the effectiveness of shared book reading intervention strategies with parents,2012,,,Soh Hong Sim,"Parents are encouraged to read with their children from an early age because shared book reading helps children to develop their language and early literacy skills. A pragmatic Randomised Controlled Trial (RCT) research design was adopted to investigate the influence of two forms of a shared reading intervention (Dialogic Reading and Dialogic Reading with the addition of Print Referencing) on children’s language and literacy skills. Dialogic reading is a validated shared reading intervention that has been shown to improve children’s oral language skills prior to formal schooling (Whitehurst & Lonigan, 1998). Print referencing is another form of shared reading intervention that has the potential to have effects on children’s print knowledge as they begin school (Justice & Ezell, 2002). However, training parents to use print referencing strategies at home has not been researched extensively although research findings indicate its effectiveness when used by teachers in the early years of school.

Eighty parents of Preparatory year children from three Catholic schools in low income areas in the outer suburbs of a metropolitan city were trained to deliver specific shared reading strategies in an eight-week home intervention. Parents read eight books to their children across the period of the intervention. Each book was requested to be read at least three times a week. There were 42 boys and 38 girls ranging in age from 4.92 years to 6.25 years (M=5.53, SD=0.33) in the sample. The families were randomly assigned to three groups: Dialogic Reading (DR); Dialogic Reading with the addition of Print Referencing (DR + PR); and a Control group. Six measures were used to assess children’s language skills at pre and post, and follow-up (three months after the intervention). These measures assessed oral language (receptive and expressive vocabulary), phonological awareness skills (rhyme, word completion), alphabet knowledge, and concepts about print.

Results of the intervention showed that there were significant differences from pre to post between the two intervention groups and the control group on three measures: expressive vocabulary, rhyme, and concepts about print. The shared reading strategies delivered by parents of the dialogic reading, and dialogic reading with the addition of print referencing, showed promising results to develop children’s oral language skills in terms of expressive vocabulary and rhyme, as well as understanding of the concepts about print. At follow-up, when the children entered Year 1, the two intervention groups (DR and DR + PR) group had significantly maintained their knowledge of concepts about prints when compared with the control group. Overall, the findings from this intervention study did not show that dialogic reading with the addition of print referencing had stronger effects on children’s early literacy skills than dialogic reading alone. 

The research also explored if pre-existing family factors impacted on the outcomes of the intervention from pre to post. The relationships between maternal education and home reading practices prior to intervention and child outcomes at post were considered. However, there were no significant effects of maternal education and home literacy activities on child outcomes at post. Additionally, there were no significant effects for the level of compliance of parents with the intervention program in terms of regular weekly reading to children during the intervention period on child outcomes at post. These non-significant findings are attributed to the lack of variability in the recruited sample. Parents participating in the intervention had high levels of education, although they were recruited from schools in low socio-economic areas; parents were already highly engaged in home literacy activities at recruitment; and the parents were highly compliant in reading regularly to their child during the intervention. 

Findings of the current study did show that training in shared reading strategies enhanced children’s early language and literacy skills. Both dialogic reading and dialogic reading with the addition of print referencing improved children’s expressive vocabulary, rhyme, and concepts about print at post intervention. Further research is needed to identify how, and if, print referencing strategies used by parents at home can be effective over and above the use of dialogic reading strategies. In this research, limitations of sample size and the nature of the intervention to use print referencing strategies at home may have restricted the opportunities for this research study to find more effects on children’s emergent literacy skills or for the effectiveness of combining dialogic reading with print referencing strategies. However, these results did indicate that there was value in teaching parents to implement shared reading strategies at home in order to improve early literacy skills as children begin formal schooling."
9,35388849,rethinking sound computer assisted reading intervention with a phonics approach for deaf and hard of hearing children using cochlear implants or hearing aids,2014,10.3384/diss.diva-108902,,Cecilia Nakeva von Mentzer,"In the present thesis, computer-assisted reading intervention with a phonics approach was examined in deaf and hard of hearing children (DHH) aged 5, 6 or 7 years old using cochlear implants, heari ..."
