ID,Title,Authors,Year,cited_in,context
102962454,toward an understanding of phonological awareness,"hugh w catts, kim a wilcox, carla woodjackson, linda s larrivee, victoria g scott",1997,1992785179,"Placement of sound contrast was manipulated to avoid ceiling or floor effects (Catts et al., 1996).
Word/picture placement was randomized via experimental control software (Direct RT; Jarvis, 2007) because differences in difficulty have been found based on the place of the word containing the sound contrast (Catts et al., 1996)."
109564690,grade 6 french immersion students performance on large scale reading writing and mathematics tests building explanations,"miles turnbull, doug hart, sharon lapkin",2003,2045483726,"The literature reviewed on bilingualism and immersion programs has claimed that immersion students achieve a remarkably high level of second language proficiency without any detrimental effects on their first language (Cummins & Carson, 1997; Lapkin et al., 2003; Swain & Johnson, 1997; Turnbull et al., 2001)."
120273180,handbook of longitudinal research,"sarnoff a mednick, michele harway, karen m finello",1981,2026763889,"Satz et al, (1978) followed a large group of children from the beginning of kindergarten through Grade 7 (Fletcher, Satz, & Morris, 1984)."
122935328,prereading deficits in children in foster care,"katherine c pears, cynthia v heywood, hyoun kyoung kim, philip a fisher",2011,1658334450,Pears et al. (2011) discussed the importance of early detection and
1490722428,emergent literacy writing and reading,"william h teale, elizabeth sulzby",1986,2091456956,"Other candidates for enhancing childrens literacy are the availability and types of literacy-related materials in the home, which vary substantially (Purcell-Gates, 1996; Teale, 1986)."
1490722428,emergent literacy writing and reading,"william h teale, elizabeth sulzby",1986,2155264932,"Rather, the emergent literacy perspective views literacy-related behaviors that occur in the preschool period as legitimate and important features on a developmental continuum of literacy (Bowman, Donovan, & Burns, 2001; Shonkoff & Phillips, 2000; Teale & Sulzby, 1986)."
1490722428,emergent literacy writing and reading,"william h teale, elizabeth sulzby",1986,2067025060,"In particular, children’s early language development is considered to be a developmental precursor and a good predictor of children’s early reading development ( Teale & Sulzby, 1986 ), as well as their metalinguistic awareness, alphabet, and book concepts (Saada-Robert, 2004).... have learned much that is important about literacy before formal reading instruction begins (Bishop & Leonard, 2000; Snow, Burns, & Griffin, 1998); (b) this need for engagement in a child’s literacy development has to start early (Morgan & Goldstein, 2004; Rutter & Mawhood, 1991); and (c) there is significant variability in the amount of early shared language and literacy development occurring for children in different home ...These activities involved the parents and others engaging in a supportive dialogue and social interaction along with shared reading, reading aloud, and discussing the stories and vocabulary with their child (Hewison & Tizard, 1980; Raz & Bryant, 1990;  Teale & Sulzby, 1986;  Scarborough & Dobrich, 1994)."
1490722428,emergent literacy writing and reading,"william h teale, elizabeth sulzby",1986,2076320060,"Research has demonstrated social class differences in both book ownership (eg, Feitelson & Goldstein, 1986; McCormick & Mason, 1986; Raz & Bryant, 1990; Teale, 1986) and the frequency of shared book reading (eg, Adams, 1990; Feitelson & Goldstein, 1986; Harris & Smith, 1987; Raz & Bryant, 1990)."
1490722428,emergent literacy writing and reading,"william h teale, elizabeth sulzby",1986,1988334720,"They are consistent with the conceptualization of the emergent literacy construct understood as the skills, knowledge, and attitudes preceding formal literacy that contribute to its achievement (Teale & Sulzby,  1986 )."
1490722428,emergent literacy writing and reading,"william h teale, elizabeth sulzby",1986,2023991700,"Childrens storybooks may offer an incentive for the development of knowledge about print, letters, and sounds in preconventional readers, because storybook illustrations are mostly accompanied by the written text that parents can read aloud (Sulzby, 1985; Teale & Sulzby, 1986)."
