iteration,ID,Title,Year,Authors,Journal,Pub_type,Citation_count,References_count,abstract
0,1968882288,nonverbal learning disability school behavior and dyslexia,1992,nathlie a badian,annals of dyslexia,1,16,34,"The aims of the study were to investigate whether children showing a low nonverbal/high verbal (LNV) WISC-R profile are more likely to exhibit behaviors conducive to school failure than children with a low verbal/high nonverbal (LV) profile, and to examine the relationships among these behaviors, the LNV/LV profiles, and reading ability. The 65 subjects included 27 LNV and 38 LV children, aged 5 to 11 years. Results confirmed earlier findings (Badian 1986) that LNV children are perceived by their teachers as significantly poorer than LV children in many behaviors associated with school success. There was a dichotomy, however, between LNV good and poor readers. All LNV subjects displayed problems in organizational skills, but those who were dyslexic were poorer in social behavior (e.g., acceptance of criticism and peer relationships) than either LNV good readers or LV good or poor readers. It was concluded that children with a low nonverbal/high verbal profile and a probable right hemisphere dysfunction, who appear to be dyslexic in the early school years, are at high risk for both social behavior problems and school failure, and that these children are a more high-risk group than poor readers with a low verbal/high nonverbal profile."
1,120255401,validation of a preliminary screening procedure for the identification of nonverbal learning disabilities nld in schools a parent rating scale,2009,tzu min lee,cardinalscholar,1,0,99,NA
1,2033486753,depression is a neurologic disease,2009,roger a brumback,journal of child neurology,1,0,36,NA
1,2038295142,nonverbal learning disabilities a critical review,2011,otfried spreen,child neuropsychology,1,27,146,"This article presents a critical review of the term and concept of nonverbal learning disability (NLD). After a brief historical introduction, the article focuses on the apparent rarity of NLD; the hypothesis of the frequent co-occurrence of emotional disorder, depression, and suicide in NLD; the white matter hypothesis as an explanation of the origin of NLD; and the question of NLD as part of a variety of other disorders. It is argued that NLD presents a broad hypothesis, but that there is little evidence to support its use in clinical practice."
1,2045343554,comprehension of humor in children with nonverbal learning disabilities reading disabilities and without learning disabilities,2008,"margaret semrudclikeman, kimberly glass",annals of dyslexia,1,31,54,"The normal development of humor in children has been well documented with a predictable course that is tied to social, cognitive, and linguistic development in children. This study explored humor comprehension in children with nonverbal learning disabilities (NVLD). Children with NVLD were compared with children with reading disabilities and a comparison group of children with no learning disabilities to assess their comprehension of humor. The humor test was composed of a joke and cartoon section. No group differences in humor comprehension were found when the NVLD group was defined as having visual–spatial and visual reasoning deficits. However, when the NVLD group was divided into children with and without social perceptual difficulties as defined by a direct measure of social comprehension, significant group differences were found in the levels of humor comprehension. These results support the association of humor comprehension with social perception and lend tentative support to the hypothesis that children with NVLD may not be a homogenous group. Future study directions include further exploration into the nature of the association between humor comprehension and social perception as well as closer examination of the heterogeneity of NVLD."
1,2046751124,the diagnosis and treatment of children with nonverbal learning disabilities,1996,joseph palombo,tradition,1,13,24,"This article presents a phenomenological description of the child with nonverbal learning disabilities, including the typical developmental profile, clinical presentation and social-emotional profile. Psychodynamics and relational problems are explained, and treatment is elaborated."
1,2057791002,the role of inattention on academics fluid reasoning and visual spatial functioning in two subtypes of adhd,2012,margaret semrudclikeman,applied neuropsychology child,1,6,62,"The purpose of this study was to determine whether subtype differences and the role of inattention in children with attention-deficit hyperactivity disorder-combined type (ADHD-C) and ADHD-predominately inattentive type (ADHD-PI) and controls on measures of achievement, problem solving, and visual–spatial abilities are present. A secondary purpose was to evaluate the relation between ADHD symptoms and performance on visual–spatial–motor tasks. Children with ADHD-C and ADHD-PI and controls, all aged 8 to 16 years old, were compared on tests of achievement, fluid reasoning, and visual–motor skills. Children with ADHD-C and ADHD-PI performed significantly poorer on the mathematics calculation, written expression, fluid reasoning, and visual–motor tests compared with the controls. Inattention, but not hyperactivity or impulsivity, was found to significantly predict performance on these measures. The role of inattention on these tasks is important for understanding why children with both subtypes of ADHD exper..."
1,2089119501,right hemisphere white matter learning disabilities associated with depression in an adolescent and young adult psychiatric population,1998,"r l cleaver, r d whitman",journal of nervous and mental disease,1,15,15,"Four hundred and eighty-four adolescents and young adults at an inpatient psychiatric facility were diagnosed as nonverbal learning disabled, verbal learning disabled, general learning disabled, or normal psychiatric controls. The nonverbal learning disabled group had the highest incidence of depres"
1,2136724462,comprehension of humor in children with non verbal learning disabilites,2003,kimberly lynne glass,NA,0,2,69,NA
1,2142038215,nonverbal learning disabilities asperger s syndrome pervasive developmental disorder should we care,1996,"roger a brumback, caryn r harper, warren a weinberg",journal of child neurology,1,31,35,NA
1,2146011315,a reconceptualization of learning disabilities via a self organizing systems paradigm,2001,david aloyzy zera,journal of learning disabilities,1,11,40,"A dilemma exists regarding the interpretation of learning disabilities. A self-organizing systems (SOS) paradigm suggests widespread, diffuse outcomes, whereas a specific learning disability concept suggests more localized dysfunction. There may be very good reason to doubt the veridicality of the concept of a specific learning disability, not because the construct of learning disabilities itself is a frivolous concept, as some have held, but because the biological or neurological events that underlie a learning disability do not remain focal and constrained only to specific dysfunction. It is important to know whether an identified learning disability remains contained or whether processing disorders might be found in other areas. The assessment profiles of school-age children identified with nonverbal learning disabilities (NLD), assumed to have primarily right-hemispheric brain dysfunctions, and children with language-based learning disabilities (LLD), assumed to have primarily left-hemispheric brain d..."
