Date,Searched_from,ID,Title,Year,Authors,Journal,Pub_type,Citations,References,Abstract
START,START,2005916137,phonological processes confrontational naming and immediate memory in dyslexia,1993,"peggy t ackerman, roscoe a dykman",journal of learning disabilities,1,181,33,"A group of poor readers classified as dyslexic by age/IQ discrepancy criteria (n=42) were contrasted with two clinic control groups: 56 adequate-for-age readers with attention deficit disorder (ADD) and 21 poor-for-age readers not meeting the IQ discrepancy criterion (slow/borderline group). The children (33 girls, 86 boys) ranged in age from 7.5 years to 12 years. Variables chosen for study included simple and complex phonological processing, speech rate, continuous naming speed, running memory span, serial memory span, and mental addition. Evidence is presented that the two poor reader groups are distinguishable. Unlike the dyslexic group, the slow/borderline group did not differ from the ADD group on three key measures: simple auditory phonological sensitivity, continuous naming speed, and running memory span. Stepwise regression to predict word list reading level showed that once age and verbal IQ were removed (51% of variance), these three key measures accounted for an additional 22% of the variance ..."
START,START,2096244074,kindergarten predictors of second versus eighth grade reading comprehension impairments,2010,"suzanne m adlof, hugh w catts, jaehoon lee",journal of learning disabilities,1,73,43,"Multiple studies have shown that kindergarten measures of phonological awareness and alphabet knowledge are good predictors of reading achievement in the primary grades. However, less attention has been given to the early predictors of later reading achievement. This study used a modified best-subsets variable-selection technique to examine kindergarten predictors of early versus later reading comprehension impairments. Participants included 433 children involved in a longitudinal study of language and reading development. The kindergarten test battery assessed various language skills in addition to phonological awareness, alphabet knowledge, naming speed, and nonverbal cognitive ability. Reading comprehension was assessed in second and eighth grades. Results indicated that different combinations of variables were required to optimally predict second versus eighth grade reading impairments. Although some variables effectively predicted reading impairments in both grades, their relative contributions shift..."
START,START,1972409856,early preschool processing abilities predict subsequent reading outcomes in bilingual spanish catalan children with specific language impairment sli,2014,"eva aguilarmediavilla, lucia buillegaz, josep a perezcastello, eduard rigocarratala, daniel adroverroig",journal of communication disorders,1,15,68,"Abstract NA NA Children with Specific Language Impairment (SLI) have severe language difficulties without showing hearing impairments, cognitive deficits, neurological damage or socio-emotional deprivation. However, previous studies have shown that children with SLI show some cognitive and literacy problems. Our study analyses the relationship between preschool cognitive and linguistic abilities and the later development of reading abilities in Spanish–Catalan bilingual children with SLI. The sample consisted of 17 bilingual Spanish–Catalan children with SLI and 17 age-matched controls. We tested eight distinct processes related to phonological, attention, and language processing at the age of 6 years and reading at 8 years of age. NA Results show that bilingual Spanish–Catalan children with SLI show significantly lower scores, as compared to typically developing peers, in phonological awareness, phonological memory, and rapid automatized naming (RAN), together with a lower outcome in tasks measuring sentence repetition and verbal fluency. Regarding attentional processes, bilingual Spanish–Catalan children with SLI obtained lower scores in auditory attention, but not in visual attention. At the age of 8 years Spanish–Catalan children with SLI had lower scores than their age-matched controls in total reading score, letter identification (decoding), and in semantic task (comprehension). Regression analyses identified both phonological awareness and verbal fluency at the age of 6 years to be the best predictors of subsequent reading performance at the age of 8 years. Our data suggest that language acquisition problems and difficulties in reading acquisition in bilingual children with SLI might be related to the close interdependence between a limitation in cognitive processing and a deficit at the linguistic level. NA Learning Outcomes: After reading this article, readers will be able to: identify their understanding of the relation between language difficulties and reading outcomes; explain how processing abilities influence reading performance in bilingual Spanish-Catalan children with SLI; and recognize the relation between language and reading via a developmental model in which the phonological system is considered central for the development of decoding abilities and comprehension."
START,START,2128485164,who are the young children for whom best practices in reading are ineffective an experimental and longitudinal study,2006,"stephanie al otaiba, douglas fuchs",journal of learning disabilities,1,187,69,"The primary purpose of this study was to identify student characteristics that reliably predict responsiveness and nonresponsiveness to generally effective early literacy interventions. Participants were 104 children, including 7 with special needs and Individualized Education Programs (IEPs), who were tested in kindergarten and first grade. Responsiveness/nonresponsiveness status was determined after 2 years during which children participated in best practice instruction (a) in kindergarten and first grade, (b) in kindergarten only, (c) in first grade only, or (d) in neither year. This facilitated the study of three groups. Always responsive students met responsiveness criteria in both years. Sometimes responsive students met the criteria in only one year. Nonresponsive students did not meet the criteria in either year. Multivariate analysis of variance and discriminant function analysis indicated that the three groups were reliably different from one another on measures of problem behavior, verbal memory, sentence imitation, syntactic awareness, vocabulary, naming speed, and segmentation. A combination of naming speed, vocabulary, sentence imitation, problem behavior, and amount of intervention correctly predicted 82.1% of nonresponsive students, 30.0% of sometimes responsive students, and 84.1% of always responsive students. Fifty students from kindergarten and first grade were tested again at the end of what should have been their third-grade year. All but 1 of the nonresponsive students who received intervention had been identified as requiring special education and had an IEP with reading goals."
START,START,2747682463,is processing of symbols and words influenced by writing system evidence from chinese korean english and greek,2017,"angeliki altani, george k georgiou, ciping deng, jeungryeul cho, katerina katopodi, wei wei, athanassios protopapas, athanassios protopapas",journal of experimental child psychology,1,5,65,"Abstract NA NA We examined cross-linguistic effects in the relationship between serial and discrete versions of digit naming and word reading. In total, 113 Mandarin-speaking Chinese children, 100 Korean children, 112 English-speaking Canadian children, and 108 Greek children in Grade 3 were administered tasks of serial and discrete naming of words and digits. Interrelations among tasks indicated that the link between rapid naming and reading is largely determined by the format of the tasks across orthographies. Multigroup path analyses with discrete and serial word reading as dependent variables revealed commonalities as well as significant differences between writing systems. The path coefficient from discrete digits to discrete words was greater for the more transparent orthographies, consistent with more efficient sight-word processing. The effect of discrete word reading on serial word reading was stronger in alphabetic languages, where there was also a suppressive effect of discrete digit naming. However, the effect of serial digit naming on serial word reading did not differ among the four language groups. This pattern of relationships challenges a universal account of reading fluency acquisition while upholding a universal role of rapid serial naming, further distinguishing between multi-element interword and intraword processing."
START,START,2154550450,identifying and predicting classes of response to explicit phonological spelling instruction during independent composing,2008,"dagmar amtmann, robert d abbott, virginia w berninger",journal of learning disabilities,1,29,95,"After explicit spelling instruction, low achieving second grade spellers increased the number of correctly spelled words during composing but differed in response trajectories. Class 1 (low initial and slow growth) had the lowest initial performance and improved at a relatively slow rate. Class 2 (high initial and fast growth) started higher than Class 1 but below Class 3 and improved at the fastest rate. Class 3 (highest initial but slow growth) had the highest initial performance but improved at a rate similar to Class 1. Class 3 differed from Classes 1 and 2 on orthographic coding. Classes 1, 2, and 3 differed on rapid automatic naming (RAN letters). Spelling instruction plus supplementary activities to improve orthographic coding in working memory and rapid, automatic coordination of phonological and orthographic codes may facilitate transfer of spelling learned during instruction to applying that spelling knowledge during independent composing."
START,START,2058633808,timing analysis of coding and articulation processes in dyslexia,1984,"samuel w anderson, frances nash podwall, joseph jaffe",annals of the new york academy of sciences,1,22,15,NA
START,START,2002228303,phonological processing and emergent literacy in spanish speaking preschool children,2006,"jason l anthony, jeffrey m williams, renee mcdonald, deborah corbittshindler, coleen d carlson, david j francis",annals of dyslexia,1,38,57,"Phonological awareness (PA), phonological memory (PM), and phonological access to lexical storage (also known as RAN), play important roles in acquiring literacy. We examined the convergent, discriminant, and predictive validity of these phonological processing abilities (PPAs) in 147 3-, 4-, and 5-year-old children whose native language was Spanish. Confirmatory factor analysis (CFA) supported the validity of each PPA as separate from general cognitive ability and separate from each other. Moreover, structural equation modeling found RAN uniquely associated with knowledge of Spanish letter names and Spanish letter sounds. PA was found the best predictor of children’s ability to distinguish alphabetic text from nonalphabetic text. Finally, general cognitive ability was only indirectly associated with emergent literacy skills via PPAs. These results highlight the importance of PPAs in the early literacy development of native Spanish speaking preschool children."
START,START,2055604732,phonological processing and emergent literacy in younger and older preschool children,2007,"jason l anthony, jeffrey m williams, renee mcdonald, david j francis",annals of dyslexia,1,86,39,"Phonological awareness, phonological memory, and phonological access to lexical storage play important roles in acquiring literacy. We examined the convergent, discriminant, and predictive validity of these phonological processing abilities (PPA) in 389 3-, 4-, and 5-year-old children. Confirmatory factor analysis supported the validity of each PPA as separate from general cognitive ability and separate from each other. Multigroup structural equation modeling (SEM) with mean structure demonstrated that older preschoolers have better developed latent PPA than younger preschoolers but that the structure of PPA is equivalent. RAN was found uniquely associated with letter knowledge and text discrimination in younger preschoolers, and PA was found uniquely associated with word reading skills in older preschoolers. Finally, general cognitive ability was only indirectly associated with emergent literacy via PPA. These results highlight the importance of PPA in the early literacy development of English-speaking preschool children."
START,START,1923410515,component processes subserving rapid automatized naming in dyslexic and non dyslexic readers,2011,"susana araujo, filomena inacio, ana francisco, luis faisca, karl magnus petersson, alexandra reis, alexandra reis",dyslexia,1,20,47,"The current study investigated which time components of rapid automatized naming (RAN) predict group differences between dyslexic and non-dyslexic readers (matched for age and reading level), and how these components relate to different reading measures. Subjects performed two RAN tasks (letters and objects), and data were analyzed through a response time analysis. Our results demonstrated that impaired RAN performance in dyslexic readers mainly stem from enhanced inter-item pause times and not from difficulties at the level of post-access motor production (expressed as articulation rates). Moreover, inter-item pause times account for a significant proportion of variance in reading ability in addition to the effect of phonological awareness in the dyslexic group. This suggests that non-phonological factors may lie at the root of the association between RAN inter-item pauses and reading ability. In normal readers, RAN performance was associated with reading ability only at early ages (i.e. in the reading-matched controls), and again it was the RAN inter-item pause times that explain the association. Copyright © 2011 John Wiley & Sons, Ltd."
